id,t,m,parent
0,0.126868,1.57828,-1
1,0.126868,0.191373,0
2,0.126868,0.179197,0
3,0.126868,0.581236,0
4,0.12687,0.549527,0
5,0.164691,0.0613412,0
6,0.477158,0.36802,-1
7,1.95456,0.239526,-1
8,2.90366,0.995913,-1
9,3.94298,0.175484,-1
10,4.00331,0.381479,9
11,4.35904,0.449091,-1
12,5.25506,0.430097,-1
13,5.98549,0.534822,-1
14,5.98549,0.179535,13
15,9.35161,0.0319477,-1
16,9.74553,0.00905944,-1
17,9.93714,0.589362,-1
18,9.93714,0.0958394,17
19,10.876,0.141069,-1
20,12.7522,0.104877,-1
21,12.84,0.303277,-1
22,13.0137,0.112993,-1
23,13.0138,0.532293,22
24,17.187,0.466238,-1
25,17.3239,0.0776909,-1
26,17.4291,2.03776,-1
27,17.4291,0.392793,26
28,17.4291,0.437707,26
29,17.4291,0.197694,26
30,17.4294,0.0572072,26
31,17.6532,0.0539716,-1
32,18.8195,0.557978,-1
33,18.8195,0.100099,32
34,18.8195,0.187531,32
35,21.2338,1.54832,-1
36,21.2338,0.444013,35
37,21.2338,1.41904,35
38,21.2338,0.68264,35
39,21.3976,0.337203,-1
40,24.1584,0.387639,-1
41,24.3384,0.682572,-1
42,24.3966,0.35993,-1
43,24.8058,0.769418,-1
44,25.2338,0.497817,-1
45,25.3849,0.500335,-1
46,25.4787,1.12592,43
47,27.5196,0.0283942,-1
48,27.7049,0.0017022,-1
49,29.3719,0.0135421,-1
50,29.8944,0.13865,-1
51,29.9909,0.0656214,-1
52,32.932,0.527334,-1
53,33.8199,0.255301,-1
54,33.8199,0.204174,53
55,33.8199,0.402773,54
56,34.0085,0.686697,-1
57,34.6116,0.235642,-1
58,34.7633,1.02578,-1
59,34.7633,0.447223,58
60,37.0155,0.582559,-1
61,38.9638,1.03198,-1
62,38.9638,0.0989094,61
63,39.4253,0.724912,-1
64,39.4253,0.123769,63
65,39.6724,0.0844311,-1
66,40.2689,0.121898,-1
67,40.9487,0.806193,-1
68,40.9487,1.01421,67
69,40.9488,0.137112,67
70,42.0132,0.0840234,-1
71,42.1675,1.08696,-1
72,42.4469,0.0746942,-1
73,42.5873,0.633201,-1
74,43.6527,0.307405,-1
75,45.271,0.629171,-1
76,45.5161,1.19455,-1
77,45.5161,0.785623,76
78,45.5161,0.305548,76
79,45.997,0.189623,-1
80,45.9986,0.00434729,76
81,46.7656,0.383281,-1
82,46.7656,1.04164,81
83,46.7656,0.477057,82
84,46.7656,0.45311,82
85,46.766,0.511125,82
86,48.1904,0.789368,-1
